Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric",138.550000,-62.500000,0.000000,top
"C2","100n","C_0402_1005Metric",135.000000,-71.730000,90.000000,top
"C3","100n","C_0402_1005Metric",135.000000,-67.500000,90.000000,top
"C4","100n","C_0402_1005Metric",143.520000,-77.000000,180.000000,top
"C5","100n","C_0402_1005Metric",146.270000,-67.250000,0.000000,top
"C6","100n","C_0402_1005Metric",138.480000,-65.000000,0.000000,top
"C7","100n","C_0402_1005Metric",135.750000,-77.750000,-90.000000,top
"C8","10p","C_0402_1005Metric",133.500000,-69.100000,90.000000,top
"C9","10p","C_0402_1005Metric",133.500000,-71.080000,-90.000000,top
"C10","22u","C_0805_2012Metric",118.450000,-56.000000,0.000000,top
"C11","22u","C_0805_2012Metric",124.000000,-62.000000,90.000000,top
"C12","47u 16V","CP_Elec_5x5.3",126.500000,-90.250000,90.000000,top
"C13","47u 16V","CP_Elec_5x5.3",119.000000,-90.250000,90.000000,top
"D1","PWR_ON","LED_0603_1608Metric",124.000000,-66.287500,90.000000,top
"D2","BZV55B5V1","D_MiniMELF",131.000000,-90.250000,90.000000,top
"H1","OUTA_1","PinHeader_1x01_P2.54mm_Vertical",114.500000,-84.450000,180.000000,top
"H2","OUTA_2","PinHeader_1x01_P2.54mm_Vertical",114.500000,-79.800000,180.000000,top
"H3","OUTB_1","PinHeader_1x01_P2.54mm_Vertical",114.500000,-75.150000,180.000000,top
"H4","OUTB_2","PinHeader_1x01_P2.54mm_Vertical",114.500000,-70.500000,180.000000,top
"H5","VCC","PinHeader_1x01_P2.54mm_Vertical",116.500000,-51.500000,90.000000,top
"H6","GND","PinHeader_1x01_P2.54mm_Vertical",121.150000,-51.500000,90.000000,top
"J1","SW","PinHeader_1x04_P2.54mm_Vertical",150.000000,-69.540000,180.000000,top
"J2","Display_Con","PinSocket_1x07_P2.54mm_Vertical",135.000000,-85.000000,90.000000,top
"J3","Arduino_con","PinHeader_1x03_P2.54mm_Vertical",150.000000,-78.540000,180.000000,top
"R1","10k","R_0402_1005Metric",141.000000,-61.010000,-90.000000,top
"R2","1k","R_0402_1005Metric",124.000000,-69.500000,-90.000000,top
"R3","220","R_0402_1005Metric",122.500000,-93.000000,0.000000,top
"SW1","SW_SPDT","SW_E-Switch_EG1224_SPDT_Angled",145.000000,-55.000000,180.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",141.000000,-71.000000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",118.500000,-62.000000,-90.000000,top
"U3","MX1616H","MX1616H",123.500000,-77.500000,90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",130.500000,-70.100000,-90.000000,top
